account,ticker
0xc8c4518eB0Ab90A1D66cddC092eeADDb083c44AE,xau
0x6A949e9d3D012d5648E0d00091A3f1313fa70b2E,xau
0x8b161d04fEdD6c1516787556B5B1C9b6Bb3AfA69,xau
0x3672a81a7E958F6F93A2dEAC3145A55e69368F4f,eth
0x80670258819CD986662E53A9a746d2a16AdaA45C,xau
0x0bab059294A4ab7e4D7da69E2bE4775acF9cB21D,xau
0xe359569C5E6F291e728EC9cd1AB15D6370261c33,gbp
0x7515dBbA1dCb9b05859d0840b0E6348F77c293C6,eth
0x546fe47eF70b1da36dFc3aE959bd5253030C34C9,xau
0xbf4f442aE1d9EA02599768633ed2736cc7BFdA4d,eth
0x23846cc314F9b80412d9fB88b5DF52dC59980965,eur
0x8b161d04fEdD6c1516787556B5B1C9b6Bb3AfA69,pepe
0x545A8AA793D319efb3D3221756015d2685A424c4,eur
0x7515dBbA1dCb9b05859d0840b0E6348F77c293C6,btc
0x8b161d04fEdD6c1516787556B5B1C9b6Bb3AfA69,eth
0x30B65eBe3920918eA98FC38bEA3E69606a1b539d,btc
0x4318F606305EeA9ff0A849d6b92F226B7Ba1Db32,xau
0xdf3151E1C47AFc6F28f5993eEA4574d8ae952E66,eth
0x5ED18a970372C20218C49Ddde947f14853c985a6,xau
0x70d34EC2287C8A0aB7A51f479a3d4Af4495b80FB,xau
0xf113E27cd8651c218ECAe167eD9f754BBFa0c461,btc
0xb94b248C2D4eB8e2FA9E7d1b43e04BeF7f15030F,btc
0x9F927B40c1DCc0aA9Dbd9F704B7F8cEFCd52C2de,btc
0x6962f2911BBe5cC18f81A0D3369CE94d60cFc977,eur
0xA9Cd8d5941Ca4980ab144AD80f978d22827f9630,eth
0x8888991A37eE39fbf6f66b64C4481afD55cba89a,xau
0xFEC4ADBd81F94e2107d4dE5d050eAA2ce8d25Dc8,gbp
0xcCb4d483deb26C5Eec1c997493038A20a3CdfbAA,link
0x49859d5b59Ff9D3A1FF3c64Af43D0F20bC8A9862,eth
0x50E08C812B626030DddfDA71F26166eeAb45a003,xau
0x3f6a77379E21deC219Dd42DFf941f5e57B64357B,eth
0x34C916406bCF00EC751ce7B07fF3AAB2a0D6F2f0,aud
0xa70481f35685B5c9Db3F4a398999B56E16175370,eth
